What is your university name ?,What is your current level of education?,How often do you use AI tools like ChatGPT  for academic purposes?,How do you think ChatGPT has influenced teaching methods in your courses?,Has ChatGPT influenced your approach to solving complex academic problems or  assignments  ? ,Do you use ChatGPT for group study or collaborative learning ?,Do you feel that AI assists you in self-paced learning ?, Does ChatGPT help improve critical thinking and problem-solving?,"Has ChatGPT provided useful guidance on your career path or educational choices ?",How worried are you about the privacy and safety of your personal data when using AI tools like ChatGPT for academic tasks?,Do you think relying too much on AI tools like ChatGPT could harm students creativity and critical thinking skills?,Do you believe using AI tools like ChatGPT reduces your creativity and critical thinking?,Do you believe AI tools (like ChatGPT) improve your learning experience?
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil International University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,No,No,Not Sure,Somewhat worried,Strongly agree,Yes,Maybe
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil International university ,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Not Sure,Somewhat worried,Agree,Sometimes,Maybe
DIU,Undergraduate,Weekly,I am not sure how it affects teaching methods,Not Sure,Sometime,Not Sure,Not Sure,Yes,Somewhat worried,Agree,Yes,No
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Sometimes,Yes
Daffodil International University ,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Not Sure,Not worried,Agree,Sometimes,Yes
Daffodil international university ,Undergraduate,Monthly,It has slightly improved teaching methods,Not Sure,Sometime,Not Sure,Not Sure,Yes,Somewhat worried,Disagree,Sometimes,No
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Mohammad Joynuk abedin,Undergraduate,Daily,It has improved teaching methods significantly,No,Yes,Yes,Yes,Yes,Somewhat worried,Disagree,Yes,Yes
Daffodil International University ,Undergraduate,Weekly,It has had no impact on teaching methods,Yes,Yes,Yes,Not Sure,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,"worried, Not worried",Neutral,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,Yes,Somewhat worried,Agree,Sometimes,Yes
independent University  ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Not worried,Neutral,Yes,Yes
Daffodil International university ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Not Sure,worried,Agree,Yes,Yes
Daffodil International University ,Undergraduate,Weekly,It has slightly improved teaching methods,No,No,Not Sure,No,Not Sure,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,No,Sometime,Not Sure,No,Yes,Somewhat worried,Agree,Sometimes,Yes
jahangirnagar University  ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Neutral,Yes,Yes
jahangirnagar University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,"worried, Not worried",Agree,Yes,Maybe
Daffodil International University ,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Not Sure,Not Sure,Somewhat worried,Strongly agree,Yes,Maybe
JU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,"Yes, No"
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,No
North South University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,"Somewhat worried, Not worried",Neutral,Sometimes,Yes
Daffodil International University ,Undergraduate,Weekly,It has had no impact on teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
City university ,Undergraduate,Weekly,It has slightly improved teaching methods,No,No,No,Yes,Yes,worried,Agree,Yes,No
Daffodil International University,Postgraduate,Monthly,It has had no impact on teaching methods,No,Sometime,No,Yes,Yes,worried,Strongly agree,Sometimes,Maybe
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Not worried,Neutral,Yes,Yes
DIU,Undergraduate,Weekly,It has slightly improved teaching methods,No,Yes,Yes,Not Sure,Yes,Somewhat worried,Neutral,Sometimes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Not Sure,worried,Strongly agree,Yes,Maybe
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Somewhat worried,Neutral,No,Yes
Daffodil International University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Yes,Somewhat worried,Agree,Sometimes,Yes
Daffodil International University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international university ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Not Sure,worried,Neutral,Yes,Yes
Daffodil international university ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,No,Yes,Somewhat worried,Agree,Yes,"No, Maybe"
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,No,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,Not worried,Agree,Sometimes,Yes
Daffodil International University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Yes
Daffodil International University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,No,Not worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Dafodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,No,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Daffodil International University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,No,Yes
Daffodil University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Yes
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Neutral,Sometimes,Yes
Daffodil International University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Sometimes,Yes
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Not Sure,worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Not Sure,Somewhat worried,Agree,Sometimes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,Somewhat worried,Agree,Sometimes,Yes
Gono University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Not Sure,Somewhat worried,Agree,Sometimes,Yes
Gono Bishwabidyalay ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Gono bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Yes
Gono Bishwabidyalay ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Gono Bishwabidyalay ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,No,Sometime,Yes,Yes,No,Somewhat worried,Agree,Sometimes,Yes
BUBT,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
BUBT,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
BUBT,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
BUBT,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
BUBT,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Bubt,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
BUBT,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,Sometimes,Yes
BUBT,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Not Sure,Sometime,Not Sure,Not Sure,Not Sure,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka international University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Dhaka International University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Not Sure,Somewhat worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,worried,Strongly agree,Yes,Yes
Diu,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Not Sure,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Jagannath University Dhaka ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Daffodil International University ,Undergraduate,Daily,It has slightly improved teaching methods,No,Sometime,No,Yes,No,Not worried,Neutral,Yes,"Yes, Maybe"
Mst. Mariha Akhter,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,Yes,Not Sure,Yes,Yes,Not worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,It has had no impact on teaching methods,Yes,No,Yes,Yes,Not Sure,worried,Strongly agree,Yes,Maybe
Daffodil International University ,Undergraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,Yes,Somewhat worried,Agree,No,Maybe
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Not Sure,Not Sure,Yes,Somewhat worried,Strongly agree,Yes,Maybe
Daffodil international University ,Undergraduate,Monthly,It has had no impact on teaching methods,Not Sure,No,Yes,Yes,Yes,Not worried,Neutral,Yes,Maybe
Daffodil international University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,No
Daffodil international University ,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Neutral,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Daffodil international University ,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
City University  ,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
City University ,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,No
City University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
City University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Yes,Yes
City University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,No,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
City University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,No,Somewhat worried,Agree,Yes,Yes
City University,Undergraduate,Daily,It has had no impact on teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Yes
City University ,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
City University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
City University,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,No,Not Sure,Not Sure,Not Sure,worried,Strongly agree,Yes,Maybe
City University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
City University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
City  University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Dhaka University ,Undergraduate,Never,It has had no impact on teaching methods,No,Sometime,No,No,Not Sure,Not worried,Strongly disagree,No,No
City University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
City University ,Undergraduate,Daily,It has improved teaching methods significantly,No,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
City University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
City University,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,Yes,Yes
City University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Disagree,Yes,Yes
Manarat international university,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,No,worried,Disagree,Sometimes,Yes
Manarat international university ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Bangladesh University of Professional ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
BUP,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Bangladesh University of Professional ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Bangladesh University of Professional,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Bangladesh University of Professional,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,No,Yes
BUP,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,worried,Disagree,Yes,Yes
Bangladesh University of Professional,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Bangladesh University of Professional,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
IUBAT,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,No,Not Sure,Not worried,Strongly disagree,Yes,Yes
Dhaka Polytechnic Institute ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,No,Yes,No,Somewhat worried,Agree,Yes,Yes
Tejgoan college,Undergraduate,Weekly,It has slightly improved teaching methods,No,Sometime,Not Sure,Yes,No,worried,Strongly agree,Sometimes,Maybe
Tularam university,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,No,Yes,"worried, Somewhat worried",Agree,Sometimes,Maybe
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Not Sure,Yes,No,Somewhat worried,Strongly agree,Yes,No
Daffodil international University ,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,No,No,Yes,Yes,Not Sure,worried,Strongly agree,Yes,No
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Not Sure,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Not Sure,Not Sure,worried,Strongly agree,Yes,Maybe
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,No,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
University of Rajshahi ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Rajshahi university,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Rajshahi university,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Not Sure,worried,Neutral,Yes,Yes
Rajshahi university,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Rajshahi university,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Not Sure,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Rajshahi university,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Rajshahi university,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Rajshahi university,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
American International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,No,Yes,Somewhat worried,Agree,Sometimes,Yes
Shaheed Ziaur Rahman Medical College ,Undergraduate,Never,I am not sure how it affects teaching methods,Not Sure,No,No,Not Sure,Not Sure,Somewhat worried,Neutral,Sometimes,Maybe
Shaheed Ziaur Rahman Medical College ,Undergraduate,Never,I am not sure how it affects teaching methods,Not Sure,No,Not Sure,Not Sure,Not Sure,Somewhat worried,Agree,Yes,Maybe
Shaheed Ziaur Rahman Medical College ,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,No,Yes,Not Sure,Yes,Not worried,Neutral,Sometimes,Yes
Daffodil International Universy,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Not Sure,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,Not Sure,Not worried,Agree,No,Yes
American International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,Somewhat worried,Agree,Sometimes,Yes
Shaheed Ziaur Rahman Medical College ,Undergraduate,Never,I am not sure how it affects teaching methods,Not Sure,No,No,Not Sure,No,Not worried,Neutral,Sometimes,Maybe
